ORF, GSM114368, GSM114370, GSM114371, GSM114372, GSM114383, GSM114384, GSM114385, GSM114386, GSM114612, GSM114613, GSM114614, GSM114615, GSM116024, GSM116025, GSM116026, GSM116027, GSM116028, GSM116029, GSM116030, GSM116031
b2994,0.050809641,0.201640123,0.089463705,0.089463705,-0.121201107,-0.120434137,-0.120434137,-0.116255578,-0.133677913,-0.050224305,-0.015032619,0.010005736,-0.013567758,-0.013506976,0.015451868,0.017893984,0.061089311,0.093402669,0.042698934,0.059952373
b3918,-0.259322657,-0.259322657,-0.259322657,-0.259322657,-0.259322657,-0.259322657,-0.259322657,-0.259322657,-0.132760221,-0.132760221,-0.132760221,-0.132760221,-0.132760221,-0.195306956,-0.195306956,-0.427327034,-0.427327034,-0.253257567,-0.493159801,-0.452196631
b3919,-0.481803847,-0.65871141,-0.349813281,-0.437284547,-0.507836487,-0.527762157,-0.611482759,-0.651165214,-0.61065764,-0.572542305,-0.558059346,-0.492444892,-0.48224724,-0.40258533,-0.414441529,-0.375204953,-0.375204953,-0.348745155,-0.432843965,-0.432843965
b1899,-0.34625366,-0.34625366,-0.34625366,0.063379432,0.085507579,0.290391987,0.262645741,0.468332491,0.307928052,0.216187148,0.108108693,0.063284939,0.009333768,0.009333768,0.018768749,-0.010185541,-0.025757641,-0.020965823,-0.051311324,
b2990,0.515169695,0.515169695,0.515169695,0.515169695,-0.06364666,0.039961758,-0.160954169,-0.116438394,-0.116438394,0.002501248,0.059021321,0.059021321,-0.044043729,-0.044043729,-0.044043729,-0.053752529,-0.053752529,0.043108745,0.048541822,0.156701693
b3914,-0.186474862,-0.186474862,-0.186474862,-0.250150556,0.063485437,0.080248312,0.241024948,0.173447223,0.173447223,0.186813143,0.186813143,0.186813143,0.140115932,0.134149139,0.134149139,0.134529036,-0.019441284,-0.019441284,-0.145059931,-0.145059931
b1896,-0.504866049,-0.504866049,-0.504866049,-0.504866049,-0.203928638,-0.067059958,-0.05673481,-0.041135275,-0.137783093,-0.149150219,-0.20824174,-0.293033253,-0.293033253,-0.293033253,-0.356015414,-0.395852004,-0.395852004,-0.395852004,-0.375840263,-0.408796336
b1895,-0.229304883,-0.229304883,-0.229304883,-0.229304883,-0.229304883,-0.229304883,-0.229304883,-0.229304883,-0.229304883,-0.229304883,-0.229304883,-0.233578124,-0.103233472,-0.150996016,-0.049524707,-0.049524707,-0.049524707,-0.051569469,-0.051569469,-0.090002961
b3917,0.214122134,-0.134504739,0.088266047,0.13682913,0.13682913,0.13682913,0.201625173,0.201625173,0.123112006,0.096440187,0.096440187,0.026200067,0.026200067,0.068902212,0.035847021,0.035847021,0.035847021,-0.035921536,-0.208315466,-0.208315466
b3910,0.130560255,-0.181350204,-0.181350204,-0.134457953,-0.073655271,-0.078892224,-0.078892224,0.014159921,0.017472302,0.008720582,0.008720582,-0.002342589,-0.03591547,-0.018796368,-0.014888582,0.033591289,-0.01346596,-0.012502829,-0.101872719,-0.075930257
b1892,0.188418746,0.188418746,0.188418746,0.188418746,0.188418746,0.188418746,0.188418746,0.684116876,0.941316722,1.056367741,1.068951419,1.068951419,1.130243785,1.145208016,1.247086101,1.177744712,1.177744712,1.017917959,0.990448722,
b1891,0.511546421,0.511546421,0.56584534,0.662059316,0.645565022,0.645565022,0.481117646,0.481117646,0.654240485,0.654240485,0.709155712,0.764596784,0.858730759,0.887175417,0.965808899,0.915771367,0.966205497,0.906281293,0.919280625,
b2998,0.128337286,0.128337286,-0.178506643,0.03987113,0.03987113,0.03987113,0.03987113,0.03987113,0.489901621,0.332353008,0.332353008,0.247961534,0.247961534,0.247961534,0.247961534,0.247961534,0.261639084,0.261639084,0.205675748,0.205675748
b3472,-1.092698015,-0.026901274,-0.026901274,-0.026901274,-0.026901274,0.192916616,0.192916616,0.192916616,0.192916616,0.192916616,-0.055491062,0.173765762,0.173765762,0.315979457,0.315979457,0.439582444,0.35756304,0.368823463,,
b3206,0.196218181,0.385420843,0.385420843,0.385420843,-0.128792973,-0.393824997,-0.393824997,-0.343670627,-0.222163741,-0.222163741,-0.219131094,-0.298981926,-0.354120685,-0.354120685,-0.337459317,-0.337459317,,,,
b1097,0.368722995,-0.046878494,-0.046878494,-0.046878494,-0.046878494,-0.046878494,-0.046878494,-0.046878494,0.035712307,0.035712307,0.035712307,-0.084619393,-0.084619393,-0.192653156,-0.192653156,-0.093869401,-0.136396112,-0.145198889,-0.077679617,-0.077679617
b1096,-1.668963635,-1.314288908,-0.818416201,-0.872430319,-0.582865754,-0.395488428,-0.395488428,-0.493222413,-0.493222413,-0.508864156,-0.462068483,-0.523796817,-0.523796817,-0.694236104,-0.534440333,-0.430330927,-0.430330927,-0.430330927,-0.430330927,-0.430330927
b1095,0.014383851,0.014383851,0.014383851,0.014383851,0.014383851,0.014383851,-0.393807955,-0.393807955,-0.12433168,-0.12433168,-0.223174466,0.033138349,-0.042386121,0.070060061,0.080102901,0.173963723,0.140476241,0.163320922,,
b1094,-0.534102783,-0.534102783,-0.210899532,-0.121722946,-0.121722946,-0.121722946,-0.137756418,-0.137756418,-0.311750148,-0.182623689,-0.05028666,0.063032595,-0.032284402,0.041227804,-0.012197017,0.108054447,-0.01588744,0.017552076,-0.088193009,-0.066872312
b1093,-0.385264078,-0.385264078,-0.385264078,-0.385264078,-0.430193946,-0.280367764,-0.318779048,-0.30880828,-0.428291626,-0.306329148,-0.16391746,-0.08571534,-0.171977809,-0.103398371,-0.116907875,-0.116907875,-0.219129571,-0.202049455,-0.249739589,-0.205096967
b1092,-0.014872495,0.158513405,0.04455357,0.182687541,-0.030234517,0.012022288,-0.067690652,-0.109258942,-0.109258942,-0.036302189,0.054876881,0.08612133,0.014266442,0.014266442,-0.011583334,0.020193073,0.005823161,0.018698614,0.028330002,0.028330002
b1091,-0.114135848,-0.114135848,-0.114135848,-0.114135848,-0.45720011,-0.376656405,-0.327278597,-0.322609933,-0.322490168,-0.322490168,-0.176618748,-0.046071551,-0.046071551,0.046891221,-0.058656736,-0.01528459,-0.01528459,-0.01528459,-0.057313069,-0.026902402
b1090,0.081010816,-0.029849022,-0.086350224,-0.092248791,-0.062521688,-0.084499923,-0.140723682,-0.244988181,-0.209734655,-0.209734655,-0.149612691,-0.19498825,-0.157634574,-0.200404442,-0.200404442,-0.271961232,-0.281275564,-0.269779982,-0.245331599,
b2147,0.197061947,-0.009840185,0.07154908,0.386462776,0.372877967,0.43541234,0.358405414,0.345264742,0.345264742,0.345264742,0.270464956,0.270464956,0.270464956,0.270464956,0.243418461,0.243418461,,,,
b1099,-0.252170497,-0.28527161,-0.441561193,-0.441561193,-0.441561193,-0.441561193,-0.441561193,-0.441561193,-0.441561193,-0.441561193,-0.441561193,-0.041951394,0.230575754,0.336324508,0.46091513,0.517556089,0.546454949,0.510187259,0.485596292,
b1098,1.118143469,0.61258851,0.614576715,0.35926046,0.368741644,0.260845814,0.260845814,0.367200159,0.414530738,0.354603006,0.273880019,0.265239436,0.250750736,0.223053383,0.214354715,0.199189306,0.200079795,0.204082452,0.226095451,0.210571167
b2806,-0.123137252,0.024319298,0.057037997,0.057037997,0.057037997,0.057037997,0.057037997,0.274374868,0.140916915,0.140916915,0.046603711,0.06253656,0.06253656,0.06253656,0.089244193,0.110018759,0.086022122,0.153184113,0.112081556,
b3207,-0.020437048,-0.020437048,0.053140994,0.151359924,0.089471183,0.03127174,-0.110622082,-0.106529386,-0.073915978,-0.055621263,-0.110624031,-0.089863155,-0.206199219,-0.22958254,-0.303164978,-0.27430318,-0.350838612,-0.318166372,,
b2140,-0.409165932,-0.252515636,-0.096960518,-0.096960518,-0.096960518,-0.096960518,-0.078196961,0.1700395,0.070473535,-0.108644932,-0.18147551,-0.18147551,-0.18147551,-0.18147551,-0.18147551,-0.096229246,-0.136693234,-0.110315514,-0.144520663,
b1918,-0.115465744,-0.115465744,-0.115465744,-0.115465744,0.230085719,0.006555788,0.006555788,0.059617174,0.145748243,0.048786812,0.114698129,0.20810518,0.20810518,0.20810518,0.175541551,0.175541551,0.136128457,0.138373427,,
b2777,0.689287128,0.689287128,0.423288561,0.399844383,0.624303243,0.326368157,0.326368157,0.326368157,0.346547883,0.234859635,0.234859635,0.242840669,0.242840669,,,,,,,
b2776,0.833454797,0.833454797,0.803231496,0.824206651,0.824206651,0.824206651,0.824206651,0.824206651,0.824206651,0.740850131,0.740850131,0.740850131,0.740850131,0.740850131,0.740850131,0.740850131,0.740850131,0.740850131,0.740850131,0.720916866
b2775,0.607087069,0.048645175,0.333961918,0.333961918,0.333961918,0.333961918,0.333961918,0.333961918,0.333961918,0.333961918,0.555254707,0.555254707,0.555254707,0.408448773,0.408448773,0.325916112,0.325916112,,,
b2774,-0.049921006,-0.245683652,-0.245683652,0.037915304,0.099432181,0.05018108,0.05018108,0.062668427,0.160516704,0.141442672,0.074424478,0.016630474,0.013686148,0.006738835,0.067425273,0.031192746,0.047063957,-0.003177495,0.073907401,0.056520823
b2773,0.081993392,0.069991829,0.017044145,0.086601673,0.086601673,0.086601673,-0.188449722,-0.188449722,-0.10796754,-0.10796754,-0.10796754,-0.073275802,-0.107371006,-0.03688302,-0.03688302,-0.03688302,0.028959801,0.011758866,0.011758866,0.009850073
b2772,0.621966587,0.904773008,0.904773008,0.904773008,0.575061769,0.53933478,0.595154404,0.331961953,0.221226447,0.221226447,0.221226447,0.143020843,0.143020843,0.143020843,0.095505857,0.067386983,,,,
b2771,0.125181037,-0.600079669,-0.783908919,-0.734461081,-0.734461081,-0.734461081,-0.734461081,-0.734461081,-0.45408591,-0.570432799,-0.570432799,-0.413122718,-0.413122718,-0.413122718,-0.413122718,-0.413122718,-0.413122718,-0.413122718,-0.323124706,-0.323124706
b2770,0.416757288,0.416757288,0.416757288,-0.007161451,0.057472982,-0.259530217,-0.039980359,0.095716769,0.168961636,0.150624116,0.17606027,0.145537049,0.140235622,0.140235622,0.124838568,0.108474507,0.102767657,0.091424906,0.091424906,
b3491,-0.88542906,-0.88542906,-0.88542906,-0.88542906,-0.88542906,-0.88542906,-0.88542906,-0.88542906,-0.88542906,-0.88542906,-0.88542906,-0.955726638,-0.955726638,-0.555012791,-0.555012791,-0.555012791,-0.430669015,,,
b2779,-0.007006011,-0.047960583,-0.056958545,-0.202519353,-0.201027362,-0.223065431,-0.285516147,-0.381904197,-0.303335979,-0.223551264,-0.146579698,-0.170634341,-0.064647165,-0.144555253,-0.127928141,-0.171589691,-0.152254966,-0.152254966,-0.139792279,
b2778,-0.779148788,-0.040665798,-0.040665798,-0.040665798,-0.040665798,-0.040665798,-0.040665798,0.353421643,0.353421643,0.467740918,0.33755804,0.452926758,0.279404262,0.255437685,0.215963406,0.299357147,0.222216598,0.222216598,,
b1273,0.362917018,0.189275198,-0.309149435,-0.309149435,-0.309149435,-0.309149435,-0.524131905,-0.524131905,-0.524131905,-0.258318898,-0.258318898,-0.258318898,-0.258318898,-0.121576944,-0.121576944,-0.091157155,-0.091157155,-0.060419704,-0.060419704,-0.026422636
b1272,0.263539828,0.365192755,0.17953113,0.203007591,0.100259802,0.118189163,0.048418336,0.309475792,0.24532675,0.295831376,0.29336117,0.365767684,0.283301695,0.284229983,0.247611735,0.263094032,0.263320106,0.2721639,0.2721639,0.26814973
b1271,0.050657754,0.698936141,0.542187724,0.53616707,0.53616707,0.53616707,0.53616707,0.416668272,0.264169825,0.272916191,0.23486357,0.23486357,0.23486357,0.23486357,0.198054757,0.198054757,0.198054757,0.204288733,0.343651046,0.343651046
b1270,-0.552005357,-0.552005357,-0.503167125,-0.275716503,-0.284369134,-0.202621249,-0.202621249,-0.088522582,-0.012557904,0.117671176,0.117671176,0.117671176,0.085744328,0.108324138,0.108324138,0.06294363,0.181499673,0.175942781,,
b1277,1.912625734,-0.248049617,0.266005547,0.266005547,0.266005547,0.266005547,0.266005547,0.266005547,0.501483781,0.501483781,0.773961123,0.773961123,0.979869613,0.979869613,0.979869613,0.616524127,0.642869372,0.692242651,0.668114519,
